CustID,ASP,Recency,Frequency,Monetary
MU10033,456.41025641,2,2,2
MU11143,456.05263158,1,4,3
MU1141,455.47540984,1,1,1
MU10960,455,2,4,4
MU10105,454.51428571,1,2,3
MU2120,454.49814126,3,2,2
MU3541,454.46769791,2,1,1
MU3420,453.98240825,1,1,1
MU1624,453.84615385,4,3,4
MU10242,453.65853659,3,4,4
MU3314,453.1372549,5,3,2
MU10050,453.12,1,2,2
MU10586,452.30769231,3,4,5
MU10449,452.1182266,2,3,2
MU1019,452,5,4,4
MU2683,451.95370046,2,1,1
MU2882,451.66666667,4,3,4
MU1287,451.53846154,4,2,2
MU10983,450.74074074,2,4,4
MU3566,450.58710298,2,1,1
MU3451,450.47619048,5,4,5
MU3505,450.28555888,3,1,1
MU2578,449.27536232,4,3,3
MU10056,449.18032787,3,3,4
MU1088,448.45230575,2,1,1
MU10433,447.91366906,2,2,3
MU10300,447,3,2,3
MU2489,446.59090909,3,1,2
MU1225,446.40820981,2,1,1
MU2521,446.13333333,3,2,2
MU10524,445.92592593,3,4,5
MU3439,445.54517134,3,2,2
MU2643,445.42056075,2,2,3
MU10308,445.2,3,3,4
MU2594,444.92345883,1,1,1
MU10328,443.92550143,3,2,1
MU2993,443.72759857,4,2,2
MU2010,443.52767091,3,1,1
MU2034,443.09371111,3,1,1
MU2978,441.97297297,4,2,1
MU2160,441.38769671,3,1,1
MU3375,441.25,5,3,3
MU132,441.16959064,2,2,2
MU2883,440.76923077,2,3,2
MU10691,440,3,4,4
MU1904,439.45551648,1,1,1
MU2672,439.07216495,2,1,2
MU30,437.6,5,4,4
MU1723,437.56876664,3,2,1
MU2426,436.70103093,5,3,3
MU10530,436.61538462,3,3,4
MU2563,436.12403101,1,2,2
MU2477,435.47788873,3,1,1
MU1248,435.29411765,5,2,4
MU2298,435.28428094,5,2,3
MU1236,435.24054983,1,1,1
MU3319,435.15759312,1,1,1
MU10297,434.91803279,3,3,3
MU10444,434.7826087,2,3,3
MU2748,434.32291667,3,2,2
MU10578,433.94230769,1,3,2
MU10976,433.73134328,2,4,4
MU3489,433.27712198,4,1,1
MU2392,433.1147541,4,3,4
MU10811,432.98245614,2,3,4
MU2368,432.53521127,4,2,2
MU10255,431.66666667,1,3,3
MU2483,431.18644068,3,2,2
MU10819,430.5785124,2,3,3
MU10220,430.16393443,3,4,4
MU11127,430,1,4,5
MU11159,430,1,4,4
MU11189,430,1,4,5
MU2185,429.65174129,2,2,2
MU10440,427.5,3,4,4
MU2777,427.3657289,3,1,2
MU10875,426.98412698,1,2,3
MU10680,426.82926829,1,3,3
MU10284,426.66666667,3,4,4
MU2101,426.57101865,4,1,1
MU10123,425.6445993,1,2,2
MU11072,425.55555556,1,4,5
MU3494,425.33333333,5,3,5
MU2771,425.1727542,2,1,1
MU10985,425,2,3,4
MU11087,425,1,4,4
MU11186,425,1,4,5
MU11187,425,1,4,5
MU11163,424.84848485,1,3,4
MU10964,424.8,2,4,5
MU2561,423.59405301,1,1,2
MU10320,423.07692308,1,3,4
MU10558,422.85714286,3,4,4
MU2030,422.421875,1,2,2
MU3339,421.93732194,4,1,2
MU3545,421.62162162,4,3,3
MU10766,421.5,2,3,3
MU2246,421.29098361,3,1,1
MU3276,420.25450689,3,2,3
MU1087,420.20156775,3,2,1
MU2323,420.13620885,2,2,1
MU10462,420,3,4,5
MU323,419.625323,1,1,1
MU2020,419.48881789,4,2,2
MU1986,419.28246014,1,1,1
MU10510,419.20289855,1,2,2
MU3575,418.42271293,4,1,1
MU1178,418.33333333,3,3,4
MU1998,417.82101167,2,2,2
MU10194,417.80645161,3,3,3
MU2528,417.6899696,2,2,2
MU10417,417.41176471,2,3,3
MU1265,416.95156695,4,3,3
MU3209,416.9197861,2,1,1
MU10257,416.72330097,1,1,1
MU10335,416.5,3,3,4
MU2952,416.31967764,3,2,2
MU10552,415.43859649,1,3,2
MU11093,415.33333333,1,4,5
MU2760,415.33116178,4,2,1
MU2846,415.29411765,5,4,5
MU2029,415.08406044,1,1,1
MU10317,414.02843602,3,3,2
MU2109,413.88888889,4,3,3
MU10133,413.46938776,3,4,3
MU1544,413.20224719,1,1,1
MU1217,412.59288228,2,2,2
MU10941,412.19512195,2,4,4
MU10987,411.9047619,2,4,4
MU3499,411.59895151,1,1,1
MU2307,411.58559697,3,1,1
MU2503,411.49305556,1,1,1
MU342,410.89668791,3,1,1
MU2334,410.80779944,2,2,2
MU10782,410.2173913,2,3,3
MU2845,410.06239082,1,1,1
MU11162,410,1,4,4
MU2824,409.95095368,1,1,1
MU10677,409.65517241,1,3,3
MU3503,409.47368421,4,4,4
